Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
82,Tanzania,Africa,2018,0,-6.5247123,35.7878438,0,"Vancouver, Canada",49.2608724,-123.1139529,29736.018511499675,4.748230982914002,2720.8456938022205
83,Ukraine,Europe,2018,0,49.4871968,31.2718321,0,"Vancouver, Canada",49.2608724,-123.1139529,17530.587702072466,2.7031160235557583,1840.711708717609
84,Uganda,Africa,2018,0,1.5333553999999998,32.2166578,0,"Vancouver, Canada",49.2608724,-123.1139529,27783.049112712673,4.403352694970949,2542.1489938132095
85,USA,USA,2018,958,39.7837304,-100.4458825,0,"Vancouver, Canada",49.2608724,-123.1139529,4142.740151422558,0.7448462299124412,497.12881817070695
86,Uruguay,Other Americas,2018,0,-32.8755548,-56.0201525,0,"Vancouver, Canada",49.2608724,-123.1139529,22554.194283320947,3.513069672034259,2063.7087769238665
87,Venezuela,Other Americas,2018,0,8.0018709,-66.1109318,0,"Vancouver, Canada",49.2608724,-123.1139529,13961.41300703499,2.1546838621472686,1465.9483657386738
88,Vietnam,Asia,2018,0,13.2904027,108.42651129999999,0,"Vancouver, Canada",49.2608724,-123.1139529,22852.562964902892,3.5625746987218743,2091.0095112886142
89,South Africa,Africa,2018,5,-28.816623600000003,24.991639000000003,0,"Vancouver, Canada",49.2608724,-123.1139529,32977.378612746754,5.335464110463966,3017.430143066328
90,Zimbabwe,Africa,2018,0,-18.4554963,29.746841399999997,0,"Vancouver, Canada",49.2608724,-123.1139529,31636.358674353836,5.090267697111318,2894.726818703376
91,United Arab Emirates,Middle East,2019,0,24.0002488,53.999482900000004,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25790.303091101796,4.058378505134877,2359.812732835814
92,Albania,Europe,2019,0,41.000028,19.9999619,0,"New Orleans, Louisiana",29.9499323,-90.0701156,18698.747647204334,2.887489375277298,1963.3685029564554
93,Argentina,Other Americas,2019,0,-34.9964963,-64.9672817,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15371.445366488808,2.368663951879956,1614.001763481325
94,Austria,Europe,2019,5,47.2000338,13.199959,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17042.571321531294,2.62680346629981,1789.469988760786
95,Australia,Oceania,2019,12,-24.7761086,134.755,0,"New Orleans, Louisiana",29.9499323,-90.0701156,31157.557907569415,5.003489994350364,2850.9165485426015
96,Bosnia and Herzegovina,Europe,2019,0,44.305347600000005,17.596146700000002,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17960.618491877227,2.7707090717032252,1885.864941647109
97,Bangladesh,Asia,2019,0,24.4768783,90.2932426,0,"New Orleans, Louisiana",29.9499323,-90.0701156,27925.994195227282,4.428367633762423,2555.2284688632963
98,Belgium,Europe,2019,9,50.6402809,4.666714499999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15586.19210486579,2.401560386649123,1636.5501710109081
99,Burkina Faso,Africa,2019,1,12.075308300000001,-1.6880313999999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,18374.98876893437,2.836148881072419,1929.3738207381089
100,Bulgaria,Europe,2019,0,42.6073975,25.4856617,0,"New Orleans, Louisiana",29.9499323,-90.0701156,19213.55443237337,2.969505937364762,1758.0402305621633
101,Burundi,Africa,2019,1,-3.3634357,29.8870575,0,"New Orleans, Louisiana",29.9499323,-90.0701156,26123.17979079329,4.115517584747056,2390.270950857586
102,Brazil,Other Americas,2019,1,-10.333333300000001,-53.2,0,"New Orleans, Louisiana",29.9499323,-90.0701156,11936.653991674524,1.853543728998129,1253.3486691258252
103,Canada,Other Americas,2019,205,61.0666922,-107.9917071,0,"New Orleans, Louisiana",29.9499323,-90.0701156,7406.311339609601,1.2059183715285844,888.7573607531522
104,Switzerland,Europe,2019,38,46.7985624,8.231973599999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,16421.859858626627,2.5303473967809946,1724.295285155796
105,Chile,Other Americas,2019,3,-31.7613365,-71.3187697,0,"New Orleans, Louisiana",29.9499323,-90.0701156,14283.372619806985,2.203234305981683,1499.7541250797335
106,Cameroon,Africa,2019,0,4.6125522000000005,13.153581099999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22029.29684524485,3.4263599976211436,2015.6806613399037
107,China,Asia,2019,76,35.000074,104.999927,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25244.759900325822,3.965156976631976,2309.8955308798127
